"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","AverageTemperatureF","AverageTemperatureC","AverageTemperatureAvgAnnualPrecipitationIn","AverageTemperatureAvgHighF","AverageTemperatureAvgLowF"
"1","Alabama",100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,62.8,17.1,56.9,75,52.2
"2","Alaska",1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,26.6,-3,37.6,35.5,20.4
"4","Arizona",65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,60.3,15.7,11.6,75.3,46.8
"5","Arkansas",58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,60.4,15.8,52.5,71.8,50.2
"6","California",249.81347,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,59.4,15.2,22.3,71.5,46.5
"8","Colorado",56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,45.1,7.3,18,60,32.4
"9","Connecticut",749.49504,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.01538,49,9.4,48.7,60,39.8
"10","Delaware",529.49461,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,55.3,12.9,45.9,66.1,46.3
"12","Florida",422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,70.7,21.5,54.4,81.9,60.9
"13","Georgia",191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,63.5,17.5,50.4,75.6,52.7
"15","Hawaii",223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,70,21.1,43.2,80.4,66.6
"16","Idaho",23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,44.4,6.9,23.7,55.7,32.1
"17","Illinois",224.74459,12477595,12582032,12786580,12790985.2,12830632,-0.0083,-104437,-0.02752,51.8,11,40.7,62.7,42.6
